user_id, num_tweets, retweet_ratio, hashtag_ratio, quote_ratio, tweet_favorite_ratio, tweet_retweet_ratio, mention_ratio, friend_follower_ratio, url_ratio, listed_count, verified, geo_enabled, protected, profile_uses_background_image, favourites_count, tweet_frequency_variance, class
21605503,19243,0.2,0.39,0.06,22.77,818.39,1.7,0.6124427686506868,0.18,58,False,True,False,True,32404,531104433.4252052,False
2756242935,6914,0.15384615384615385,0.04395604395604396,0.03296703296703297,0.23076923076923078,919.7692307692307,0.4725274725274725,1.6135057471264367,0.03296703296703297,1,False,False,False,True,16403,424939939081.1021,False
265196636,43788,0.5612244897959183,0.05102040816326531,0.21428571428571427,0.0,13994.224489795919,0.5612244897959183,0.8670143415906127,0.4897959183673469,38,False,True,False,True,9815,463401552.86973685,False
3887070673,762,0.978494623655914,1.5591397849462365,0.010752688172043012,0.0,342.93548387096774,1.096774193548387,13.8,0.34408602150537637,2,False,False,False,True,353,1401322.3567765567,False
537841059,8555,0.3333333333333333,0.020202020202020204,0.20202020202020202,2.9292929292929295,16195.464646464647,0.9090909090909091,0.3717948717948718,0.2222222222222222,7,False,False,False,False,17451,909717325.2519329,False
21539881,17902,0.46,0.01,0.22,0.24,1087.96,0.95,3.21875,0.35,15,False,True,False,True,14685,1250807.8368398906,False
61694837,61396,0.02,0.0,0.04,0.36,67.5,0.56,1.016,0.2,5,False,True,False,True,5131,12947716.780138858,False
724907522,24268,0.40404040404040403,0.020202020202020204,0.04040404040404041,0.6060606060606061,4891.858585858586,0.8585858585858586,0.7377892030848329,0.10101010101010101,6,False,False,False,True,1306,1035921316.7079039,False
495283255,6546,0.40625,0.13541666666666666,0.16666666666666666,0.07291666666666667,1318.0520833333333,0.5104166666666666,0.3818770226537217,0.20833333333333334,1,False,False,False,True,658,20451143287.634407,False
378570257,9296,0.88,0.95,0.05,0.67,497.9,1.11,0.07926829268292683,0.09,2,False,True,False,True,3426,335938645.33273715,False
383312226,21255,0.9880952380952381,0.023809523809523808,0.15476190476190477,0.023809523809523808,71347.53571428571,0.9523809523809523,0.6109467455621301,0.15476190476190477,2,False,True,False,True,6065,63203785099.6617,False
633817553,9517,0.8809523809523809,0.011904761904761904,0.14285714285714285,0.30952380952380953,45705.26190476191,0.9047619047619048,0.8639798488664987,0.10714285714285714,1,False,False,False,True,3465,12057010469.087172,False
629919354,4159,0.8902439024390244,0.04878048780487805,0.024390243902439025,0.3048780487804878,18388.89024390244,0.8536585365853658,0.6929347826086957,0.024390243902439025,0,False,True,False,True,6688,933719524831.7412,False
40776090,10519,0.72,0.17,0.13,0.22,6218.77,0.89,3.089727722772277,0.31,17,False,False,False,True,6464,34825884.62371134,False
853990454,8760,0.7790697674418605,0.011627906976744186,0.09302325581395349,0.4186046511627907,47075.476744186046,0.9302325581395349,0.7065217391304348,0.06976744186046512,1,False,True,False,True,10758,20093000902.757744,False
137846738,2104,0.8404255319148937,0.07446808510638298,0.2872340425531915,0.02127659574468085,31513.44680851064,0.8936170212765957,2.0045454545454544,0.2765957446808511,1,False,True,False,True,1901,16803106828.803991,False
41458916,121371,0.3333333333333333,0.1111111111111111,0.12121212121212122,1.8383838383838385,12.424242424242424,3.4646464646464645,0.19030921262352565,0.6666666666666666,57,False,False,False,True,495,54199.9600515464,False
3399388330,997,0.04,0.24,0.02,0.81,0.79,0.66,4.797872340425532,0.86,2,False,False,False,True,108,8808032934.43299,False
143153117,23817,0.11,0.01,0.07,2.23,552.92,0.77,0.9,0.48,7,False,True,False,False,10714,91349865.08447295,False
570601271,5773,0.37,0.24,0.0,0.03,1173.55,0.77,0.8641975308641975,0.01,0,False,False,False,True,122,188530527340.8096,False
1226091284,5179,0.32989690721649484,0.05154639175257732,0.08247422680412371,8.88659793814433,1328.721649484536,1.1030927835051547,0.6371428571428571,0.1134020618556701,1,False,True,False,True,8473,612027332549.8931,False
1045929434,8384,0.38,0.66,0.04,0.21,140.39,1.39,0.3784329563812601,0.34,18,False,False,False,True,7622,283744477716.7617,False
250951747,2977,0.6,0.044444444444444446,0.3,0.2777777777777778,40268.6,0.7666666666666667,1.2378640776699028,0.2777777777777778,1,False,True,False,True,3237,71896267028.00092,False
3280135166,404,0.061224489795918366,0.02040816326530612,0.17346938775510204,0.04081632653061224,7.622448979591836,0.47959183673469385,2.3333333333333335,0.1836734693877551,0,False,False,False,True,2,24182.02620614035,False
235417676,24045,0.0,0.0,0.01,0.0,0.0,0.0,0.8005333333333333,1.0,4,False,True,False,True,18490,2258590214.2474227,False
28366268,18,0.0,0.0,0.0,1.4,0.0,1.8,1.5354330708661417,0.0,1,False,False,False,True,930,2650803760001.3335,False
4116007695,287,0.25,0.07291666666666667,0.08333333333333333,0.4166666666666667,31.21875,0.6041666666666666,0.8648648648648649,0.08333333333333333,0,False,False,False,True,70,163120349.34202698,False
164438347,211456,0.78,0.0,0.33,0.06,14786.85,0.94,0.9535131298793471,0.36,24,False,True,False,True,25875,553673.8876499054,False
3382678798,5541,0.9795918367346939,0.7959183673469388,0.030612244897959183,0.0,1992.469387755102,1.010204081632653,13.733333333333333,0.5510204081632653,1,False,False,False,True,14202,134672348.51041666,False
2714432840,706,0.4166666666666667,0.34523809523809523,0.05952380952380952,0.16666666666666666,549.5595238095239,1.1904761904761905,0.8461538461538461,0.20238095238095238,6,False,True,False,False,267,1034587152286.4077,False
99127860,2439,0.0,0.0,0.0,0.21,0.01,0.0,0.9925816023738873,0.82,4,False,False,False,True,0,149026390118.4554,False
458632493,9051,0.6565656565656566,0.020202020202020204,0.1111111111111111,0.6868686868686869,12434.737373737375,0.7373737373737373,0.8056872037914692,0.12121212121212122,1,False,True,False,False,9193,1018898416.8560997,False
31523146,4898,0.05,0.16,0.19,0.71,10.25,0.49,0.35106382978723405,0.33,3,False,True,False,True,5031,2144464283.1571639,False
2942417632,955,0.9381443298969072,0.2268041237113402,0.1958762886597938,0.010309278350515464,197.61855670103094,1.1546391752577319,0.374,0.14432989690721648,1,False,False,False,True,541,2824574780868.8936,False
476496615,1186,0.0707070707070707,0.030303030303030304,0.0,0.42424242424242425,29.494949494949495,1.3232323232323233,3.9285714285714284,0.0707070707070707,2,False,True,False,True,1054,218132805470.9444,False
492516531,9987,0.5645161290322581,0.016129032258064516,0.27419354838709675,0.45161290322580644,25535.74193548387,0.6935483870967742,0.9252873563218391,0.25806451612903225,3,False,True,False,True,5124,22593454894.99887,False
381523148,8192,0.93,0.32,0.03,0.03,1418.01,1.01,3.827067669172932,0.05,3,False,False,False,True,13653,228124019.917105,False
312366071,8828,0.75,0.19,0.03,0.06,1578.67,0.97,0.30584192439862545,0.29,12,False,True,False,False,5191,10358064945.427414,False
2381148548,4849,0.5257731958762887,0.020618556701030927,0.32989690721649484,0.845360824742268,14984.41237113402,0.6597938144329897,0.8374836173001311,0.31958762886597936,0,False,False,False,True,2605,18179153753.397087,False
993056972,18956,0.12,0.06,0.09,0.25,1756.92,0.7,0.6564039408866995,0.09,3,False,True,False,True,18674,175518516.27740374,False
2300173172,4213,0.8736842105263158,0.021052631578947368,0.15789473684210525,0.21052631578947367,26118.094736842104,1.0105263157894737,0.8632478632478633,0.12631578947368421,1,False,False,False,False,7632,35566681334.15521,False
71379711,614,0.34328358208955223,0.7910447761194029,0.14925373134328357,0.3880597014925373,1513.9402985074628,0.5522388059701493,0.9859154929577465,0.3283582089552239,0,False,True,False,True,1845,1298025839212.7822,False
244733954,6445,0.27,0.06,0.24,0.82,4658.25,0.7,0.7009646302250804,0.25,0,False,True,False,True,4564,187923960.25510204,False
3256443385,39490,1.0,0.32,0.07,0.0,28254.03,1.0,15.642857142857142,0.11,1,False,False,False,True,7787,276164.09562381654,False
981192584,33517,0.711340206185567,0.3711340206185567,0.010309278350515464,0.15463917525773196,206817.59793814432,0.8556701030927835,0.41482739105829086,0.09278350515463918,17,False,False,False,True,728,42667685260.47189,False
2799034437,4605,0.94,0.21,0.07,0.08,17661.42,1.12,2.0250783699059562,0.1,0,False,True,False,True,15355,2621632883.716074,False
16605976,12901,0.1717171717171717,0.13131313131313133,0.1717171717171717,1.1919191919191918,2725.838383838384,1.2828282828282829,0.7247619047619047,0.1919191919191919,76,False,True,False,True,6571,2315209165.6735396,False
55592032,6257,0.74,0.1,0.27,0.18,1044.27,0.93,1.2172131147540983,0.26,4,False,True,False,True,2878,761119155225.8906,False
374592230,4034,0.17,0.77,0.39,0.55,419.57,0.86,1.8888888888888888,0.7,23,False,True,False,True,2629,12603036957.812855,False
2960017537,3048,0.18518518518518517,0.037037037037037035,0.04938271604938271,0.06172839506172839,317.8888888888889,0.35802469135802467,0.55893536121673,0.08641975308641975,1,False,False,False,True,1201,445234136479.3821,False
